Feedback_ID,Subject_Code,Student_ID,Semester_ID,Clarity_of_Explanation,Subject_Knowledge_of_Teacher,Engagement_in_Class,Encouragement_of_Participation,Fairness_in_Grading,Timely_Feedback_on_Assignments,Availability_for_Doubts_Outside_Class,Use_of_Teaching_Aids_Technology,Classroom_Management,Pacing_of_Course,Relevance_of_Course_Material,Encouragement_of_Critical_Thinking,Respectful_and_Inclusive_Environment,Adjustment_to_Student_Confusion,Overall_Teaching_Effectiveness
F0001,DA127,STU001,S001,3,5,4,1,1,5,5,4,3,5,5,4,3,3,4
F0002,DA303,STU001,S002,4,4,3,3,4,4,5,5,5,5,5,5,5,5,5
F0003,DA765,STU001,S003,5,4,2,3,4,4,3,4,4,2,5,3,5,3,4
F0004,DA127,STU002,S001,5,4,3,5,5,5,3,2,3,4,5,5,4,5,4
F0005,DA303,STU002,S002,3,4,5,5,3,4,4,5,4,5,4,4,5,5,4
F0006,DA765,STU002,S003,3,5,5,4,2,4,5,4,3,2,4,3,5,5,4
F0007,DA127,STU003,S001,1,4,5,5,5,5,3,4,4,4,4,5,3,3,4
F0008,DA303,STU003,S002,5,5,4,5,1,4,1,5,5,3,4,5,5,4,4
F0009,DA765,STU003,S003,4,5,2,5,3,4,4,4,5,3,5,4,5,2,4
F0010,DA127,STU004,S001,3,4,4,5,3,3,4,5,3,4,4,5,3,5,4
F0011,DA303,STU004,S002,2,5,5,3,3,5,4,4,5,5,4,2,5,3,4
F0012,DA765,STU004,S003,3,5,3,4,4,4,5,3,4,4,3,5,3,5,4
F0013,DA127,STU005,S001,4,3,4,3,5,5,5,5,5,4,5,5,3,4,4
F0014,DA303,STU005,S002,3,4,4,2,5,5,4,5,4,5,4,4,3,5,4
F0015,DA765,STU005,S003,5,5,4,4,5,2,3,5,5,2,3,5,5,4,4
F0016,DA384,STU006,S004,3,4,5,3,3,5,3,4,5,5,5,4,5,5,4
F0017,DA877,STU006,S005,4,4,5,2,5,5,5,4,4,5,4,5,3,2,4
F0018,DA814,STU006,S006,5,5,5,5,3,3,3,4,5,1,5,5,4,4,4
F0019,DA384,STU007,S004,5,3,3,5,4,1,5,5,4,4,4,5,4,5,4
F0020,DA877,STU007,S005,4,5,4,1,3,3,4,5,2,5,5,5,5,4,4
F0021,DA814,STU007,S006,5,5,3,3,5,5,5,5,3,5,3,5,5,4,4
F0022,DA384,STU008,S004,5,5,4,5,5,5,3,5,5,5,3,5,4,4,4
F0023,DA877,STU008,S005,5,4,3,1,4,5,4,5,3,4,5,5,3,5,4
F0024,DA814,STU008,S006,3,5,5,4,4,4,4,5,3,4,4,5,1,4,4
F0025,DA384,STU009,S004,4,4,5,5,5,5,4,4,5,4,4,2,4,5,4
F0026,DA877,STU009,S005,4,4,3,4,1,4,4,4,5,5,4,5,5,5,4
F0027,DA814,STU009,S006,4,4,3,4,4,5,5,5,5,5,5,3,3,3,4
F0028,DA384,STU010,S004,1,3,3,4,4,3,5,1,5,2,5,4,5,5,4
F0029,DA877,STU010,S005,3,5,4,3,5,5,5,5,5,4,4,2,5,3,5
F0030,DA814,STU010,S006,5,4,5,4,3,5,5,4,5,4,4,5,5,5,4
F0031,DA204,STU011,S007,2,5,4,4,2,4,4,4,4,4,5,3,3,3,4
F0032,DA489,STU011,S008,5,4,5,5,5,5,4,5,5,5,5,4,4,1,5
F0033,DA467,STU011,S009,3,3,3,4,3,5,1,4,2,4,4,5,4,4,3
F0034,DA204,STU012,S007,5,5,3,4,5,5,4,2,2,4,4,3,1,4,4
